Plate	Repeat	Well	Type	Time	Absorbance @ 600 (A)	Time	GFP (Counts)	Time	mCherry (Counts)
1	4	F06	M	01:34:58.11	0.035	01:35:54.17	454	01:36:51.37	7917
1	4	F07	M	01:34:58.43	0.036	01:35:54.53	432	01:36:51.73	7883
1	4	F08	M	01:34:58.75	0.041	01:35:54.89	422	01:36:52.09	7941
1	4	F09	M	01:34:59.07	0.036	01:35:55.25	462	01:36:52.45	7995
1	4	F10	M	01:34:59.39	0.047	01:35:55.61	686	01:36:52.81	8365
1	4	F11	M	01:34:59.71	0.035	01:35:55.97	526	01:36:53.17	8257
1	4	F12	M	01:35:00.03	0.039	01:35:56.33	474	01:36:53.54	8575
1	4	G01	Bl	01:35:02.79	0.037	01:35:59.14	382	01:36:56.34	7666
1	4	G02	Bl	01:35:03.11	0.037	01:35:59.50	394	01:36:56.70	7650
1	4	G03	Bl	01:35:03.43	0.037	01:35:59.86	380	01:36:57.06	7580
1	5	A01	M	02:05:39.67	0.061	02:06:33.16	418	02:07:30.39	6814
1	5	A02	M	02:05:39.99	0.054	02:06:33.53	450	02:07:30.75	7096
1	5	A03	M	02:05:40.31	0.054	02:06:33.89	474	02:07:31.11	7222
1	5	A04	M	02:05:40.63	0.066	02:06:34.25	404	02:07:31.47	6362
1	5	A05	M	02:05:40.95	0.058	02:06:34.61	480	02:07:31.83	7158
1	5	A06	M	02:05:41.27	0.057	02:06:34.97	450	02:07:32.19	7268
1	5	A07	M	02:05:41.59	0.055	02:06:35.33	518	02:07:32.55	7002
1	5	A08	M	02:05:41.91	0.062	02:06:35.69	600	02:07:32.91	6660
1	5	A09	M	02:05:42.23	0.057	02:06:36.05	444	02:07:33.27	6598
1	5	A10	M	02:05:42.55	0.062	02:06:36.41	462	02:07:33.63	6502
1	5	A11	M	02:05:42.87	0.055	02:06:36.77	470	02:07:33.99	7410
1	5	A12	M	02:05:43.19	0.056	02:06:37.13	468	02:07:34.36	6900
1	5	B01	M	02:05:45.95	0.062	02:06:39.94	402	02:07:37.16	6662
1	5	B02	M	02:05:46.27	0.056	02:06:40.30	440	02:07:37.52	7074
1	5	B03	M	02:05:46.59	0.056	02:06:40.69	448	02:07:37.88	7074
1	5	B04	M	02:05:46.91	0.065	02:06:41.05	430	02:07:38.24	6418
1	5	B05	M	02:05:47.23	0.060	02:06:41.41	474	02:07:38.60	6952
1	5	B06	M	02:05:47.55	0.060	02:06:41.77	390	02:07:38.96	6738
1	5	B07	M	02:05:47.87	0.065	02:06:42.13	440	02:07:39.32	6592
1	5	B08	M	02:05:48.19	0.057	02:06:42.49	444	02:07:39.68	6532
1	5	B09	M	02:05:48.51	0.057	02:06:42.85	458	02:07:40.05	7068
1	5	B10	M	02:05:48.83	0.062	02:06:43.21	464	02:07:40.41	6283
1	5	B11	M	02:05:49.15	0.055	02:06:43.57	446	02:07:40.77	6676
1	5	B12	M	02:05:49.47	0.056	02:06:43.93	476	02:07:41.13	6612
